date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:42:45	219/219	---MC-	302	error ('Found')	text/html	date:Fri,%2031%20Dec%202021%2010:42:45%20GMT	http://acrotel/reserve/images/bg1.png	C:/My%20Web%20Sites/acrotel/acrotel/reserve/images/bg1.png	(from http://acrotel/common/css/content.css?v=20211231074102)
19:42:45	219/219	---MC-	302	error ('Found')	text/html	date:Fri,%2031%20Dec%202021%2010:42:45%20GMT	http://acrotel/reserve/images/bg2.png	C:/My%20Web%20Sites/acrotel/acrotel/reserve/images/bg2.png	(from http://acrotel/common/css/content.css?v=20211231074102)
19:42:45	219/219	---MC-	302	error ('Found')	text/html	date:Fri,%2031%20Dec%202021%2010:42:45%20GMT	http://acrotel/images/sitemap/bg_tit1.gif	C:/My%20Web%20Sites/acrotel/acrotel/images/sitemap/bg_tit1.gif	(from http://acrotel/common/css/content.css?v=20211231074102)
19:42:46	219/219	---MC-	302	error ('Found')	text/html	date:Fri,%2031%20Dec%202021%2010:42:45%20GMT	http://acrotel/images/sustainability/ico7_1_1.png	C:/My%20Web%20Sites/acrotel/acrotel/images/sustainability/ico7_1_1.png	(from http://acrotel/common/css/board.css?v=20211231074102)
19:42:46	219/219	---MC-	302	error ('Found')	text/html	date:Fri,%2031%20Dec%202021%2010:42:45%20GMT	http://acrotel/images/common/ico/bg_tit1.png	C:/My%20Web%20Sites/acrotel/acrotel/images/common/ico/bg_tit1.png	(from http://acrotel/common/css/board.css?v=20211231074102)
19:42:46	219/219	---MC-	302	error ('Found')	text/html	date:Fri,%2031%20Dec%202021%2010:42:46%20GMT	http://acrotel/images/common/ico/ico_home2.png	C:/My%20Web%20Sites/acrotel/acrotel/images/common/ico/ico_home2.png	(from http://acrotel/common/css/board.css?v=20211231074102)
19:42:46	219/219	---MC-	302	error ('Found')	text/html	date:Fri,%2031%20Dec%202021%2010:42:46%20GMT	http://acrotel/images/common/ico/ico_back1.png	C:/My%20Web%20Sites/acrotel/acrotel/images/common/ico/ico_back1.png	(from http://acrotel/common/css/board.css?v=20211231074102)
19:42:46	219/219	---MC-	302	error ('Found')	text/html	date:Fri,%2031%20Dec%202021%2010:42:46%20GMT	http://acrotel/images/common/ico/ico_qna1.png	C:/My%20Web%20Sites/acrotel/acrotel/images/common/ico/ico_qna1.png	(from http://acrotel/common/css/board.css?v=20211231074102)
19:42:47	219/219	---MC-	302	error ('Found')	text/html	date:Fri,%2031%20Dec%202021%2010:42:46%20GMT	http://acrotel/images/common/ico/bg_line1.png	C:/My%20Web%20Sites/acrotel/acrotel/images/common/ico/bg_line1.png	(from http://acrotel/common/css/board.css?v=20211231074102)
19:42:47	219/219	---MC-	302	error ('Found')	text/html	date:Fri,%2031%20Dec%202021%2010:42:47%20GMT	http://acrotel/images/common/ico/ico_loding.gif	C:/My%20Web%20Sites/acrotel/acrotel/images/common/ico/ico_loding.gif	(from http://acrotel/common/css/board.css?v=20211231074102)
19:42:47	0/-1	---M--	302	error ('')			http://acrotel/images/common/ico/dot2.gif	C:/My%20Web%20Sites/acrotel/acrotel/images/common/ico/dot2.111.delayed	(from http://acrotel/common/css/base.css?v=20211231074105)
19:42:47	0/-1	---M--	302	error ('')			http://acrotel/images/common/bul_sqr1.gif	C:/My%20Web%20Sites/acrotel/acrotel/images/common/bul_sqr1.112.delayed	(from http://acrotel/common/css/base.css?v=20211231074105)
19:42:47	0/-1	---M--	302	error ('')			http://acrotel/common/css/images/common/btn_bul1.png	C:/My%20Web%20Sites/acrotel/acrotel/common/css/images/common/btn_bul1.113.delayed	(from http://acrotel/common/css/content.css?v=20211231074105)
19:42:47	0/-1	---M--	302	error ('')			http://acrotel/images/common/btn_gnb1.gif	C:/My%20Web%20Sites/acrotel/acrotel/images/common/btn_gnb1.114.delayed	(from http://acrotel/common/css/content.css?v=20211231074105)
19:42:47	219/219	---MC-	302	error ('Found')	text/html	date:Fri,%2031%20Dec%202021%2010:42:47%20GMT	http://acrotel/reserve/images/bg1.png	C:/My%20Web%20Sites/acrotel/acrotel/reserve/images/bg1.png	(from http://acrotel/common/css/content.css?v=20211231074105)
19:42:47	219/219	---MC-	302	error ('Found')	text/html	date:Fri,%2031%20Dec%202021%2010:42:47%20GMT	http://acrotel/reserve/images/bg2.png	C:/My%20Web%20Sites/acrotel/acrotel/reserve/images/bg2.png	(from http://acrotel/common/css/content.css?v=20211231074105)
